customer_id,customer_email,customer_name,customer_joined,order_id,order_date,order_status,product_id,product_name,product_category,quantity,unit_price,total_price
1,helenmurray@example.org,Brian Williams,2026-03-04T20:05:46.229Z,49124,2026-03-06T10:36:14.644Z,delivered,4146,Modern Cotton Bike,Electronics,7,419.99,2939.93
2,vmiller@example.org,Erin Flores,2026-03-04T20:05:46.229Z,52707,2026-03-08T16:54:57.400Z,pending,2800,Sleek Soft Bike,Beauty & Health,7,17.41,121.87
3,michaelmiller@example.org,Steve Miller,2026-03-04T20:05:46.229Z,52704,2026-03-08T16:54:57.300Z,pending,822,Luxurious Concrete Towels,Clothing,8,106.38,851.04
4,mooreemily@example.net,Elijah Hoover,2026-03-04T20:05:46.229Z,53220,2026-03-17T13:49:31.211Z,pending,3644,Rustic Wooden Cheese,Sports,2,305.90,611.80
5,bclark@example.net,Jared Gardner,2026-03-04T20:05:46.229Z,52706,2026-03-08T16:54:57.400Z,pending,4491,Unbranded Rubber Bike,Electronics,4,92.02,368.08
6,jonathan56@example.net,Sarah Porter,2026-03-04T20:05:46.229Z,53070,2026-03-11T10:20:52.656Z,pending,842,Gorgeous Rubber Computer,Clothing,3,199.26,597.78
7,cherylschmidt@example.net,Patricia Preston,2026-03-04T20:05:46.229Z,53271,2026-03-17T16:12:19.832Z,pending,3862,Bespoke Plastic Cheese,Beauty & Health,5,424.33,2121.65
8,pjenkins@example.net,Thomas Murray,2026-03-04T20:05:46.229Z,53119,2026-03-11T15:42:45.246Z,pending,4399,Gorgeous Metal Gloves,Beauty & Health,9,708.01,6372.09
9,patty33@example.net,James Hill,2026-03-04T20:05:46.229Z,53168,2026-03-17T13:12:22.871Z,pending,1520,Handmade Concrete Chips,Electronics,5,86.63,433.15
10,lanedeanna@example.net,Vanessa Davis,2026-03-04T20:05:46.229Z,52606,2026-03-08T14:06:48.537Z,pending,217,Ergonomic Bronze Towels,Sports,6,418.64,2511.84
