customer_id,customer_email,customer_name,customer_joined,order_id,order_date,order_status,product_id,product_name,product_category,quantity,unit_price,total_price
7878,debramccarthy@example.org,Victor Pollard,2026-03-04,49638,2026-03-06,shipped,1871,Handmade Bronze Chips,Electronics,7,607.69,4253.83
7637,clarkthomas@example.net,Lauren Johnson,2026-03-04,41526,2026-03-06,cancelled,3053,Electronic Plastic Ball,Sports,7,49.59,347.13
4021,youngmelissa@example.net,Brenda Gomez,2026-03-04,45766,2026-03-06,processing,1465,Licensed Steel Towels,Clothing,7,820.53,5743.71
8723,manuel52@example.org,Brittany Hammond,2026-03-04,46082,2026-03-06,shipped,4339,Small Soft Towels,Food & Beverage,1,811.98,811.98
742,nsmith@example.net,Michael Espinoza,2026-03-04,40744,2026-03-06,cancelled,3697,Handmade Fresh Cheese,Toys,2,405.42,810.84
1381,amandahayes@example.net,Mark Thomas,2026-03-04,49927,2026-03-06,processing,1603,Bespoke Plastic Car,Electronics,10,650.63,6506.30
8019,jermainedennis@example.org,Shaun Huffman,2026-03-04,46884,2026-03-06,cancelled,1134,Sleek Granite Towels,Home & Garden,5,981.49,4907.45
8426,vbullock@example.com,Heidi Reed,2026-03-04,46928,2026-03-06,shipped,4449,Licensed Bronze Shoes,Beauty & Health,10,70.60,706.00
769,karenhanson@example.org,Alexander Ruiz,2026-03-04,40117,2026-03-06,pending,4784,Small Plastic Shoes,Electronics,4,285.14,1140.56
5020,emedina@example.net,Susan Scott,2026-03-04,23564,2026-03-06,delivered,3329,Unbranded Cotton Pizza,Food & Beverage,5,22.03,110.15
1393,caseyelizabeth@example.com,Erika Romero,2026-03-04,39136,2026-03-06,pending,1662,Unbranded Soft Computer,Sports,1,684.75,684.75
9292,ivangonzales@example.org,Darrell Weaver,2026-03-04,45870,2026-03-06,processing,3265,Recycled Soft Shoes,Sports,4,500.18,2000.72
7756,mcguirejames@example.org,Christopher Hunter,2026-03-04,47723,2026-03-06,shipped,3404,Small Wooden Gloves,Clothing,9,478.29,4304.61
39,williamwhite@example.com,Johnny Weber,2026-03-04,24366,2026-03-06,processing,3542,Elegant Fresh Shirt,Home & Garden,4,86.05,344.20
8071,davidgomez@example.net,Bruce Oliver,2026-03-04,42979,2026-03-06,pending,1702,Incredible Granite Shirt,Sports,9,888.02,7992.18
